CustomerID,Age,Gender,City,Education,MaritalStatus,AnnualIncome,SpendingScore,YearsEmployed,PurchaseFrequency,OnlineVisitsPerMonth,ReturnedItems,PreferredDevice,LastPurchaseAmount
1001,49,Male,Pune,Masters,Single,82953.0,66,23,19,9,2,Laptop,3944
1002,44,Male,Pune,PhD,Single,60610.0,56,22,1,23,3,Desktop,3885
1003,42,Male,Mumbai,Bachelors,Single,35501.0,44,18,10,29,3,Laptop,3247
1004,36,Female,Mumbai,Masters,Married,99312.0,36,10,12,21,3,Mobile,2028
1005,23,Male,Pune,Masters,Married,46980.0,56,1,18,9,3,Tablet,1100
1006,34,Female,Bangalore,Bachelors,Married,67195.0,46,13,20,4,3,Mobile,1978
1007,28,Female,Hyderabad,Masters,Single,62270.0,30,2,8,20,3,Desktop,3573
1008,26,Female,Bangalore,PhD,Married,43436.0,54,1,12,20,1,Tablet,4797
1009,34,Male,Bangalore,PhD,Single,49818.0,26,8,15,20,4,Tablet,4493
1010,45,Male,Bangalore,Masters,Married,39800.0,62,22,13,17,0,Desktop,3068
1011,44,Female,Mumbai,Masters,Married,,56,24,3,5,0,Laptop,4974
1012,25,Male,Hyderabad,PhD,Single,53215.0,44,4,9,9,3,Laptop,3604
1013,43,Female,Delhi,PhD,Single,,27,18,22,10,2,Tablet,2070
1014,21,Male,Mumbai,Bachelors,Married,77232.0,34,1,5,3,1,Desktop,1002
1015,34,Male,Hyderabad,PhD,Married,66989.0,32,8,7,21,0,Laptop,1063
1016,52,Female,Pune,Masters,Single,65606.0,52,29,15,15,2,Tablet,1559
1017,33,Female,Pune,PhD,Married,102458.0,51,6,10,4,4,Desktop,2097
1018,26,Male,Hyderabad,Masters,Single,59404.0,55,3,23,13,3,Mobile,3802
1019,53,Male,Pune,Bachelors,Married,62157.0,25,33,13,22,0,Mobile,1782
1020,26,Female,Hyderabad,Masters,Single,43800.0,95,1,19,3,1,Mobile,1163
1021,35,Female,Pune,Masters,Single,74298.0,14,13,20,11,0,Tablet,2353
1022,32,Female,Bangalore,PhD,Married,91734.0,56,7,17,7,0,Laptop,1198
1023,22,Male,Pune,Masters,Single,,46,1,1,3,2,Laptop,2207
1024,46,Male,Hyderabad,,Single,113174.0,55,19,11,25,2,Tablet,4996
1025,44,Male,Delhi,Masters,Single,98104.0,61,20,16,13,0,Mobile,3772
1026,26,Male,Bangalore,PhD,Married,71993.0,38,1,4,29,2,Mobile,1869
1027,23,Male,Mumbai,PhD,Married,82981.0,25,1,9,22,0,Laptop,2459
